,Product Name,Product Code,Regular Price,Happy Price,Discount,Page Link,Image Link,Category
0,Конфигурација  INTEL BASIC,Шифра: 52786,"13,999 Ден.","11,999 Ден.",-14%,https://setec.mk/компјутери-и-it-опрема/конфигурации/конфигурација-intel-basic-52786,https://setec.mk/image/cache/catalog/Product/52786_0-228x228.jpg,Компјутери и IT Опрема
1,Конфигурација AMD CALISTO,Шифра: 55229,"16,999 Ден.","14,999 Ден.",-12%,https://setec.mk/компјутери-и-it-опрема/конфигурации/конфигурација-amd-calisto-55229,https://setec.mk/image/cache/catalog/Product/55229_0-228x228.jpg,Компјутери и IT Опрема
2,Конфигурација  AMD ATHLON,Шифра: 55306,"17,999 Ден.","15,999 Ден.",-11%,https://setec.mk/компјутери-и-it-опрема/конфигурации/конфигурација-amd-athlon-55306,https://setec.mk/image/cache/catalog/Product/55306_0-228x228.jpg,Компјутери и IT Опрема
3,Конфигурација  AMD STORM+,Шифра: 53583,"19,999 Ден.","15,999 Ден.",-20%,https://setec.mk/компјутери-и-it-опрема/конфигурации/конфигурација-amd-storm-53583,https://setec.mk/image/cache/catalog/Product/53583_0-228x228.jpg,Компјутери и IT Опрема
4,Конфигурација  INTEL GAMER GALAXY,Шифра: 52504,"18,999 Ден.","16,829 Ден.",-11%,https://setec.mk/компјутери-и-it-опрема/конфигурации?product_id=52504,https://setec.mk/image/cache/catalog/Product/52504_0-228x228.jpg,Компјутери и IT Опрема
5,Конфигурација  AMD STORM+,Шифра: 54069,"19,999 Ден.","16,999 Ден.",-15%,https://setec.mk/компјутери-и-it-опрема/конфигурации/конфигурација-amd-storm-54069,https://setec.mk/image/cache/catalog/Product/54069_0-228x228.jpg,Компјутери и IT Опрема
6,Конфигурација  INTEL GAMER GALAXY+,Шифра: 55392,"18,999 Ден.","17,729 Ден.",-7%,https://setec.mk/компјутери-и-it-опрема/конфигурации/конфигурација-intel-gamer-galaxy-55392,https://setec.mk/image/cache/catalog/Product/55392_0-228x228.jpg,Компјутери и IT Опрема
7,Конфигурација  INTEL GAMER GALAXY PRO,Шифра: 57276,"19,999 Ден.","18,809 Ден.",-6%,https://setec.mk/компјутери-и-it-опрема/конфигурации/конфигурација-intel-gamer-galaxy-pro-57276,https://setec.mk/image/cache/catalog/Product/57276_0-228x228.jpg,Компјутери и IT Опрема
8,Конфигурација  INTEL GAMER,Шифра: 57474,"22,999 Ден.","21,669 Ден.",-6%,https://setec.mk/компјутери-и-it-опрема/конфигурации/конфигурација-intel-gamer-57474,https://setec.mk/image/cache/catalog/Product/57474_0-228x228.jpg,Компјутери и IT Опрема
9,ASUS PC ExpertCenter D5 Tower D500TC-3101051770,Шифра: 53223,"27,999 Ден.","21,999 Ден.",-21%,https://setec.mk/компјутери-и-it-опрема/конфигурации/asus-pc-expertcenter-d5-tower-d500tc-3101051770-53223,https://setec.mk/image/cache/catalog/Product/53223_0-228x228.jpg,Компјутери и IT Опрема
10,Конфигурација  INTEL GALAXY EXTREME,Шифра: 56542,"23,999 Ден.","22,659 Ден.",-6%,https://setec.mk/компјутери-и-it-опрема/конфигурации/конфигурација-intel-galaxy-extreme-56542,https://setec.mk/image/cache/catalog/Product/56542_0-228x228.jpg,Компјутери и IT Опрема
11,"ASUS All-In-One V222GAK-BA023M  21.5""",Шифра: 52807,"27,999 Ден.","22,769 Ден.",-19%,https://setec.mk/компјутери-и-it-опрема/конфигурации/asus-all-in-one-v222gak-ba023m-215-52807,https://setec.mk/image/cache/catalog/Product/52807_0-228x228.jpg,Компјутери и IT Опрема
12,Конфигурација  INTEL GAMER CENTURION,Шифра: 56540,"24,999 Ден.","23,399 Ден.",-6%,https://setec.mk/компјутери-и-it-опрема/конфигурации/конфигурација-intel-gamer-centurion-56540,https://setec.mk/image/cache/catalog/Product/56540_0-228x228.jpg,Компјутери и IT Опрема
13,Конфигурација  INTEL GAMER CENTURION,Шифра: 58273,"24,999 Ден.","23,639 Ден.",-5%,https://setec.mk/компјутери-и-it-опрема/конфигурации?product_id=58273,https://setec.mk/image/cache/catalog/Product/58273_0-228x228.jpg,Компјутери и IT Опрема
14,"ASUS All-In-One E1600WKAT-UI11B1  /  TouchScreen  15.6""",Шифра: 57113,"25,999 Ден.","23,759 Ден.",-9%,https://setec.mk/компјутери-и-it-опрема/конфигурации/asus-all-in-one-e1600wkat-ui11b1-touchscreen-156-57113,https://setec.mk/image/cache/catalog/Product/57113_0-228x228.jpg,Компјутери и IT Опрема
15,Конфигурација AMD GAMING STARTER,Шифра: 57468,"25,999 Ден.","23,879 Ден.",-8%,https://setec.mk/компјутери-и-it-опрема/конфигурации/конфигурација-amd-gaming-starter-57468,https://setec.mk/image/cache/catalog/Product/57468_0-228x228.jpg,Компјутери и IT Опрема
16,Конфигурација  INTEL GAMER ANUBIS,Шифра: 58235,"27,999 Ден.","24,879 Ден.",-11%,https://setec.mk/компјутери-и-it-опрема/конфигурации/конфигурација-intel-gamer-anubis-58235,https://setec.mk/image/cache/catalog/Product/58235_0-228x228.jpg,Компјутери и IT Опрема
17,Конфигурација  INTEL GAMER GLADIATOR+,Шифра: 55391,"27,999 Ден.","24,999 Ден.",-11%,https://setec.mk/компјутери-и-it-опрема/конфигурации/конфигурација-intel-gamer-gladiator-55391,https://setec.mk/image/cache/catalog/Product/55391_0-228x228.jpg,Компјутери и IT Опрема
18,Конфигурација  INTEL GAMER PRIME,Шифра: 53203,"29,999 Ден.","26,869 Ден.",-10%,https://setec.mk/компјутери-и-it-опрема/конфигурации/конфигурација-intel-gamer-prime-53203,https://setec.mk/image/cache/catalog/Product/53203_0-228x228.jpg,Компјутери и IT Опрема
19,Конфигурација  INTEL GAMER LITE,Шифра: 58209,"29,999 Ден.","26,999 Ден.",-10%,https://setec.mk/компјутери-и-it-опрема/конфигурации/конфигурација-intel-gamer-lite-58209,https://setec.mk/image/cache/catalog/Product/58209_0-228x228.jpg,Компјутери и IT Опрема
20,Конфигурација  INTEL GAMER OBERON,Шифра: 57352,"29,999 Ден.","27,579 Ден.",-8%,https://setec.mk/компјутери-и-it-опрема/конфигурации/конфигурација-intel-gamer-oberon-57352,https://setec.mk/image/cache/catalog/Product/57352_0-228x228.jpg,Компјутери и IT Опрема
21,ASUS PC ExpertCenter D5  Mini tower D500MD-CZ-UI31B0X,Шифра: 56748,"29,999 Ден.","28,569 Ден.",-5%,https://setec.mk/компјутери-и-it-опрема/конфигурации/asus-pc-expertcenter-d5-mini-tower-d500md-cz-ui31b0x-56748,https://setec.mk/image/cache/catalog/Product/56748_0-228x228.jpg,Компјутери и IT Опрема
22,LENOVO ALL-IN-ONE  Ideacentre 3 24ITL6 ( Black ),Шифра: 53779,"31,999 Ден.","28,859 Ден.",-10%,https://setec.mk/компјутери-и-it-опрема/конфигурации/lenovo-all-in-one-ideacentre-3-24itl6-black-53779,https://setec.mk/image/cache/catalog/Product/53779_0-228x228.jpg,Компјутери и IT Опрема
