danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
0.748,0.916,-2.634,0.0583,0.102,0.0,0.0653,0.518,122.036,pop
0.726,,-4.969,0.0373,0.0724,,0.357,0.693,99.972,pop
0.675,0.931,-3.432,0.0742,0.0794,,0.11,0.613,124.008,pop
0.718,0.93,-3.778,0.102,0.0287,9.43e-06,0.204,0.277,,pop
0.65,0.833,-4.672,0.0359,0.0803,0.0,0.0833,0.725,123.976,pop
0.675,,,0.127,0.0799,0.0,0.143,0.585,,pop
,0.856,,0.0623,0.187,0.0,0.176,,112.648,pop
0.542,,-2.419,0.0434,0.0335,,,0.367,127.936,pop
0.594,,-3.562,0.0565,0.0249,,,0.366,127.015,pop
0.642,0.818,-4.552,0.032,0.0567,0.0,0.0919,,124.957,pop
,0.923,-6.5,0.181,0.146,4.92e-06,0.124,0.752,121.984,pop
0.437,0.774,-4.918,0.0554,0.148,0.0,0.133,,123.125,pop
0.744,0.726,-4.675,0.0463,0.0399,0.0,0.374,0.687,121.985,pop
0.572,0.915,-4.451,0.0625,0.0111,0.0,0.339,,,pop
0.69,0.78,-4.446,0.0594,0.00733,0.00183,,0.238,126.07,pop
0.805,,,0.0896,0.13,5.03e-06,0.365,0.722,125.028,pop
0.694,,-4.322,0.0948,0.0702,0.0,0.427,0.368,118.051,pop
0.678,,,0.165,0.0395,0.0,0.174,,120.002,pop
0.746,,,0.0542,0.103,0.0036,0.138,0.324,,pop
0.467,,-5.466,,0.00791,0.000441,0.131,0.232,122.676,pop
0.572,0.934,-5.053,0.0446,0.00292,0.0198,0.105,0.204,125.948,pop
0.708,0.913,-4.329,0.0348,0.089,,0.113,0.707,135.016,pop
0.684,0.818,-4.477,0.128,0.0469,3.39e-06,0.119,0.336,123.938,pop
0.732,0.85,-5.999,0.0444,0.114,2.02e-06,0.0388,0.372,124.024,pop
0.62,0.889,,0.0352,0.0163,1.86e-05,0.395,0.422,110.018,pop
0.675,,,0.0434,0.104,,0.33,0.468,,pop
0.682,0.851,,0.0363,0.0146,,0.0289,0.348,126.0,pop
0.663,0.905,-3.781,0.0511,0.0325,0.0,0.333,0.397,125.996,pop
0.625,0.938,,0.0517,0.00432,,0.0923,0.371,127.997,pop
,0.909,-2.929,0.105,0.0334,,0.269,0.819,,pop
0.641,,-4.754,,0.0319,0.00131,0.403,0.358,128.091,pop
0.702,0.814,,0.0841,0.107,3.03e-05,0.374,0.503,,pop
,0.837,-6.487,0.0389,0.0103,0.000477,,0.643,,pop
0.742,0.864,,0.0976,0.00141,0.00467,0.241,0.727,,pop
0.716,0.815,-4.121,0.0533,0.108,,0.163,0.351,124.975,pop
0.748,,-5.029,0.115,0.0823,7.36e-05,0.0757,0.894,128.024,pop
0.816,0.833,-5.972,0.0511,0.126,9.09e-06,0.0625,0.793,122.032,pop
,,-4.046,0.0432,0.0382,2.83e-05,0.434,0.659,,pop
0.563,0.81,,0.0522,0.00522,0.0,0.0846,,129.975,pop
0.728,0.815,-2.878,0.046,0.00223,0.000317,0.101,0.681,124.019,pop
0.846,0.773,-3.503,,0.0141,2.23e-05,0.204,,124.008,pop
0.693,,-7.159,0.0324,0.0154,6.05e-06,0.101,0.404,103.952,pop
,0.928,-3.66,0.0597,0.0303,3.33e-05,0.143,0.663,,pop
0.67,0.453,-11.265,0.295,0.252,0.33,,,,pop
0.755,,-4.104,,0.132,0.0271,0.0854,0.288,122.041,pop
0.622,,,,0.000609,0.746,0.0909,0.442,121.968,pop
0.789,,-4.364,0.168,0.0538,,0.221,0.41,121.956,pop
0.64,,-4.203,0.0416,0.0588,1.99e-05,0.0424,0.587,,pop
0.609,,-4.564,0.111,0.0994,0.0,0.197,0.531,128.082,pop
0.64,0.992,-3.318,,0.0832,0.0083,0.109,0.479,123.951,pop
0.75,,,0.0572,0.0917,1.59e-05,0.111,0.48,120.038,pop
0.535,0.956,-2.996,0.0343,0.000609,0.0109,0.262,0.12,127.984,pop
0.766,0.771,-9.108,0.0576,0.00407,3.76e-06,0.113,,140.036,pop
0.649,0.821,,0.0472,0.017,,0.0655,0.394,125.977,pop
0.588,,-4.744,,0.186,0.000219,0.103,0.225,,pop
0.355,0.789,-4.358,0.165,,,0.0355,0.169,,pop
,0.84,-5.283,0.0419,0.0336,8.45e-05,0.277,,118.02,pop
0.735,0.5,-11.297,0.0511,0.415,3.12e-05,0.13,0.119,126.1,pop
,,-4.451,0.0373,0.00486,0.0109,0.0916,0.461,124.002,pop
0.748,0.903,-5.877,0.0385,0.0324,0.0,0.106,,115.018,pop
0.607,0.955,-3.613,0.102,0.0163,,0.0725,0.501,125.984,pop
0.607,,-2.325,0.0487,0.0921,0.002,0.0445,0.664,124.998,pop
0.679,0.786,-6.918,0.132,0.119,5.89e-06,0.224,,126.092,pop
0.714,,-5.8,,0.0204,0.00615,0.334,0.292,124.015,pop
0.69,0.862,-4.154,0.0944,0.0611,1.85e-05,0.238,0.453,121.975,pop
0.775,0.867,,0.204,0.0158,0.0117,0.0355,0.565,128.956,pop
0.814,,-5.547,0.0763,0.001,,0.0185,0.959,121.978,pop
0.784,0.779,-5.48,0.0387,0.0357,0.025,0.0245,0.459,,pop
,0.783,-4.504,0.154,0.00515,0.0,0.0545,0.289,88.013,pop
0.609,0.83,-3.759,0.0793,0.201,6.18e-05,0.0321,,117.833,pop
0.591,,-5.59,0.0289,0.225,0.0,0.414,0.501,104.003,pop
0.59,0.642,-3.87,0.122,0.0771,0.0,0.105,0.651,,pop
,,,0.0439,0.0623,0.0,0.156,0.181,99.961,pop
0.564,0.747,-3.374,0.0584,,0.0,0.151,,97.878,pop
0.669,0.801,-5.445,0.136,0.268,0.0,0.0594,0.541,109.919,pop
0.77,0.882,-4.792,0.0602,0.194,0.0,0.316,,99.991,pop
0.513,0.788,-4.629,0.0364,0.00968,0.0,0.11,0.234,139.987,pop
,0.864,-3.249,0.208,,0.0,0.16,0.659,,pop
0.789,0.858,-4.388,0.0404,,4.58e-05,0.335,0.491,110.012,pop
0.294,0.505,-8.106,0.042,0.12,0.0,0.0977,0.357,85.332,pop
0.665,,-2.868,0.0617,0.18,0.0,0.125,0.5,101.976,pop
0.46,,-3.584,0.05,0.289,6.16e-06,0.121,0.553,,pop
0.362,,-3.815,0.486,0.123,0.0,0.19,0.529,172.191,pop
,,,0.0369,0.0948,1.33e-06,0.182,0.486,123.032,pop
0.618,0.66,,0.0372,0.0292,,0.325,0.408,105.0,pop
0.665,0.699,-5.265,0.0578,0.423,0.0,0.0969,0.585,,pop
0.661,,-4.859,0.0563,0.0253,0.0,0.123,0.605,119.927,pop
0.571,0.752,-4.872,0.0293,0.0196,6.92e-05,0.114,0.25,102.043,pop
